变更单 ID,变更类型,变更单地址,项目 ID,项目名称,应用ID,应用名称,软件版本,配置变量版本,配置模版版本,流水线 ID,审批人,执行人,变更单开始时间,变更单结束时间,变更实例数目,任务正式变更总时长（全量时长）,是否灰度,第一个实例到第二个实例执行间隔,在 10min 内开始执行实例数,在 10min 内开始执行实例比例,是否灰度单台,最后 10min 内完成执行实例数,最后 10min 内完成执行实例比例,批量策略是否合格,最大并发实例数,最大并发实例比例,是否有暂停/观察,暂停/观察点数目,暂停/观察时间大于 30min 点数目,第一个暂停/观察点时长,第一个暂停/观察点时长是否大于 30min,是否强制回滚验证,变更单是否存在回滚,回滚实例数,回滚时长,不合规信息
8848626,配置变更,http://zhiyan.woa.com/cicd/38/deploy/#/deploy/detail/8848626,38,相册平台_QQ相册,941,cloud_preupload,,"{""version_name"":""v_20240801155930"",""version_uuid"":""fd886cd9-7109-4e98-a6ea-0ec934badee1""}",v_20240821152324,0,null,danielpu,2024-08-22 11:16:03,2024-08-23 14:44:40,321,27h0m43s,true,2h38m18s,1,0.3115264797507788,true,10,3.115264797507788,true,1,0.3115264797507788,true,12,7,2h38m12s,true,true,false,0,0s,
8806642,版本发布,http://zhiyan.woa.com/cicd/38/deploy/#/deploy/detail/8806642,38,相册平台_QQ相册,16007,photo_recycle_center_for_cloud,2.3.2,,v_20240819160143,0,null,jinglunchen,2024-08-19 16:13:06,2024-08-20 11:32:13,102,18h46m5s,true,6m16s,3,2.941176470588235,false,13,12.745098039215685,true,4,3.9215686274509802,true,3,1,3m19s,false,true,false,0,0s,"变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8785180,配置变更,http://zhiyan.woa.com/cicd/437/deploy/#/deploy/detail/8785180,437,Yotta,1039,allocator,,"{""version_name"":""3.4.7"",""version_uuid"":""63a25cba-6330-4b62-bef2-cd8820aaecc3""}",3.4.7,0,,jackieyuan,2024-08-19 10:38:19,2024-08-19 14:59:24,30,3h55m20s,true,3h1m44s,1,3.3333333333333335,true,17,56.666666666666664,false,2,6.666666666666667,true,2,2,3h0m56s,true,true,false,0,0s,"变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8785179,配置变更,http://zhiyan.woa.com/cicd/437/deploy/#/deploy/detail/8785179,437,Yotta,1039,allocator,,"{""version_name"":""3.4.7"",""version_uuid"":""63a25cba-6330-4b62-bef2-cd8820aaecc3""}",3.4.7,0,,jackieyuan,2024-08-19 16:49:47,2024-08-20 14:25:34,29,21h35m39s,true,18h0m29s,1,3.4482758620689653,true,15,51.724137931034484,false,2,6.896551724137931,true,2,2,17h59m32s,true,false,false,0,0s,"变更单未开启强制回滚验证！
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8785178,配置变更,http://zhiyan.woa.com/cicd/437/deploy/#/deploy/detail/8785178,437,Yotta,1035,center,,"{""version_name"":""1.20.7"",""version_uuid"":""d9546c7c-ac01-47b1-be32-3b6ad63d8bd5""}",1.20.6,0,,jackieyuan,2024-08-19 14:59:27,2024-08-19 16:49:44,3,1h11m29s,true,1h10m23s,1,33.33333333333333,true,2,66.66666666666666,false,1,33.33333333333333,true,1,1,1h9m56s,true,true,false,0,0s,"变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8785177,配置变更,http://zhiyan.woa.com/cicd/437/deploy/#/deploy/detail/8785177,437,Yotta,1035,center,,"{""version_name"":""1.20.7"",""version_uuid"":""d9546c7c-ac01-47b1-be32-3b6ad63d8bd5""}",1.20.6,0,,v_yhyhma,2024-08-20 14:25:37,2024-08-20 16:38:22,3,1h9m48s,true,1h8m43s,1,33.33333333333333,true,2,66.66666666666666,false,1,33.33333333333333,true,1,1,1h8m8s,true,false,false,0,0s,"变更单未开启强制回滚验证！
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8785175,配置变更,http://zhiyan.woa.com/cicd/437/deploy/#/deploy/detail/8785175,437,Yotta,1035,center,,"{""version_name"":""1.20.7"",""version_uuid"":""d9546c7c-ac01-47b1-be32-3b6ad63d8bd5""}",1.20.6,0,,v_yhyhma,2024-08-20 14:26:24,2024-08-20 16:38:22,3,1h9m21s,true,1h7m58s,1,33.33333333333333,true,2,66.66666666666666,false,1,33.33333333333333,true,1,1,1h7m15s,true,false,false,0,0s,"变更单未开启强制回滚验证！
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8785174,配置变更,http://zhiyan.woa.com/cicd/437/deploy/#/deploy/detail/8785174,437,Yotta,1039,allocator,,"{""version_name"":""3.4.7"",""version_uuid"":""63a25cba-6330-4b62-bef2-cd8820aaecc3""}",3.4.7,0,,jackieyuan,2024-08-19 16:49:48,2024-08-20 14:26:21,23,21h36m24s,true,17h25m53s,1,4.3478260869565215,true,10,43.47826086956522,true,2,8.695652173913043,true,3,3,17h24m19s,true,false,false,0,0s,"变更单未开启强制回滚验证！
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8784587,版本发布,http://zhiyan.woa.com/cicd/437/deploy/#/deploy/detail/8784587,437,Yotta,1035,center,1.20.6,"{""version_name"":""1.20.8"",""version_uuid"":""ffaf28a8-689a-4896-b06d-7e1fa4021e27""}",1.20.6,0,,qisamliu,2024-08-19 10:15:01,2024-08-20 10:19:29,2,34m27s,true,32m44s,1,50,true,1,50,true,1,50,true,1,1,30m51s,true,false,false,0,0s,"变更单未开启强制回滚验证！
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8899072,版本发布,http://zhiyan.woa.com/cicd/487/deploy/#/deploy/detail/8899072,487,ckv-plus存储项目,119534,dts_checker,2.1.31#12,,,0,null,jessielli,2024-08-23 15:51:54,2024-08-23 16:08:28,100,16m30s,true,4m4s,56,56.00000000000001,false,78,78,false,11,11,true,1,0,2m53s,false,false,false,0,0s,"变更单全量耗时小于 30min! 
变更单未开启强制回滚验证！
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
